realtime_start,date,value
1994-02-17 00:00:00,1947-01-01 00:00:00,21.48
1994-02-17 00:00:00,1947-02-01 00:00:00,21.62
1994-02-17 00:00:00,1947-03-01 00:00:00,22.0
1994-02-17 00:00:00,1947-04-01 00:00:00,22.0
1994-02-17 00:00:00,1947-05-01 00:00:00,21.95
1994-02-17 00:00:00,1947-06-01 00:00:00,22.08
1994-02-17 00:00:00,1947-07-01 00:00:00,22.23
1994-02-17 00:00:00,1947-08-01 00:00:00,22.4
1994-02-17 00:00:00,1947-09-01 00:00:00,22.84
1994-02-17 00:00:00,1947-10-01 00:00:00,22.91
1994-02-17 00:00:00,1947-11-01 00:00:00,23.06
1994-02-17 00:00:00,1947-12-01 00:00:00,23.41
1994-02-17 00:00:00,1948-01-01 00:00:00,23.68
1994-02-17 00:00:00,1948-02-01 00:00:00,23.67
1994-02-17 00:00:00,1948-03-01 00:00:00,23.5
1994-02-17 00:00:00,1948-04-01 00:00:00,23.82
1994-02-17 00:00:00,1948-05-01 00:00:00,24.01
1994-02-17 00:00:00,1948-06-01 00:00:00,24.15
1994-02-17 00:00:00,1948-07-01 00:00:00,24.4
1994-02-17 00:00:00,1948-08-01 00:00:00,24.43
1994-02-17 00:00:00,1948-09-01 00:00:00,24.36
1994-02-17 00:00:00,1948-10-01 00:00:00,24.31
1994-02-17 00:00:00,1948-11-01 00:00:00,24.16
1994-02-17 00:00:00,1948-12-01 00:00:00,24.05
1994-02-17 00:00:00,1949-01-01 00:00:00,24.01
1994-02-17 00:00:00,1949-02-01 00:00:00,23.91
1994-02-17 00:00:00,1949-03-01 00:00:00,23.91
1994-02-17 00:00:00,1949-04-01 00:00:00,23.92
1994-02-17 00:00:00,1949-05-01 00:00:00,23.91
1994-02-17 00:00:00,1949-06-01 00:00:00,23.92
1994-02-17 00:00:00,1949-07-01 00:00:00,23.7
1994-02-17 00:00:00,1949-08-01 00:00:00,23.7
1994-02-17 00:00:00,1949-09-01 00:00:00,23.75
1994-02-17 00:00:00,1949-10-01 00:00:00,23.67
1994-02-17 00:00:00,1949-11-01 00:00:00,23.7
1994-02-17 00:00:00,1949-12-01 00:00:00,23.61
1994-02-17 00:00:00,1950-01-01 00:00:00,23.51
1994-02-17 00:00:00,1950-02-01 00:00:00,23.61
1994-02-17 00:00:00,1950-03-01 00:00:00,23.64
1994-02-17 00:00:00,1950-04-01 00:00:00,23.65
1994-02-17 00:00:00,1950-05-01 00:00:00,23.77
1994-02-17 00:00:00,1950-06-01 00:00:00,23.88
1994-02-17 00:00:00,1950-07-01 00:00:00,24.07
1994-02-17 00:00:00,1950-08-01 00:00:00,24.2
1994-02-17 00:00:00,1950-09-01 00:00:00,24.34
