realtime_start,date,value
1992-12-22 00:00:00,1947-01-01 00:00:00,1239.5
1997-05-07 00:00:00,1947-01-01 00:00:00,1402.5
2000-04-27 00:00:00,1947-01-01 00:00:00,1481.7
2003-12-10 00:00:00,1947-01-01 00:00:00,1570.5
2009-07-31 00:00:00,1947-01-01 00:00:00,1772.2
2011-07-29 00:00:00,1947-01-01 00:00:00,1770.7
2013-07-31 00:00:00,1947-01-01 00:00:00,1932.6
2014-07-30 00:00:00,1947-01-01 00:00:00,1934.5
2017-10-27 00:00:00,1947-01-01 00:00:00,1934.471
2018-07-27 00:00:00,1947-01-01 00:00:00,2033.061
2021-07-29 00:00:00,1947-01-01 00:00:00,2034.45
2023-09-28 00:00:00,1947-01-01 00:00:00,2182.681
1992-12-22 00:00:00,1947-04-01 00:00:00,1247.2
1997-05-07 00:00:00,1947-04-01 00:00:00,1424.6
2000-04-27 00:00:00,1947-04-01 00:00:00,1489.4
2003-12-10 00:00:00,1947-04-01 00:00:00,1568.7
2009-07-31 00:00:00,1947-04-01 00:00:00,1769.5
2011-07-29 00:00:00,1947-04-01 00:00:00,1768.0
2013-07-31 00:00:00,1947-04-01 00:00:00,1930.4
2014-07-30 00:00:00,1947-04-01 00:00:00,1932.3
2017-10-27 00:00:00,1947-04-01 00:00:00,1932.281
2018-07-27 00:00:00,1947-04-01 00:00:00,2027.639
2021-07-29 00:00:00,1947-04-01 00:00:00,2029.024
2023-09-28 00:00:00,1947-04-01 00:00:00,2176.892
1992-12-22 00:00:00,1947-07-01 00:00:00,1255.0
1997-05-07 00:00:00,1947-07-01 00:00:00,1437.5
2000-04-27 00:00:00,1947-07-01 00:00:00,1493.1
2003-12-10 00:00:00,1947-07-01 00:00:00,1568.0
2009-07-31 00:00:00,1947-07-01 00:00:00,1768.0
2011-07-29 00:00:00,1947-07-01 00:00:00,1766.5
2013-07-31 00:00:00,1947-07-01 00:00:00,1928.4
2014-07-30 00:00:00,1947-07-01 00:00:00,1930.3
2017-10-27 00:00:00,1947-07-01 00:00:00,1930.315
2018-07-27 00:00:00,1947-07-01 00:00:00,2023.452
2021-07-29 00:00:00,1947-07-01 00:00:00,2024.834
2023-09-28 00:00:00,1947-07-01 00:00:00,2172.432
