asset,asset_class,indicator,indicator_type,horizon,ic_or_spread,ic_ir,n_obs,p_value,survives_fdr,low_confidence,note
HYG,credit,AD,continuous,1,-0.021383130912546275,-0.9993123405902071,4835,0.15274701405723692,False,False,
HYG,credit,AD,continuous,5,-0.03521530826140849,-0.6052135672628309,4831,0.20333114704104904,False,False,
HYG,credit,AD,continuous,10,-0.03997588748097607,-0.39751978222318535,4826,0.3047366518348513,False,False,
HYG,credit,AD,continuous,20,-0.03609069175503986,-0.2820381168524778,4816,0.5152698829431164,False,False,
HYG,credit,ADOSC_3_10,continuous,1,-0.03011669121648209,-0.5207782524344743,4826,0.03348574375153407,False,False,
HYG,credit,ADOSC_3_10,continuous,5,-0.057059192239095696,-0.30044522196827034,4822,0.016061035979103258,True,False,
HYG,credit,ADOSC_3_10,continuous,10,-0.07541017338126907,-0.2364426713767775,4817,0.010025328768992432,True,False,
HYG,credit,ADOSC_3_10,continuous,20,-0.1016277785604426,-0.2004939570328007,4807,0.004033140149985578,True,False,
HYG,credit,ADXR_14,continuous,1,-0.003868577497310238,-0.11385025757268073,4795,0.7918049072901651,False,False,
HYG,credit,ADXR_14,continuous,5,-0.0049960919715785965,-0.05706453141538156,4791,0.8531536486379362,False,False,
HYG,credit,ADXR_14,continuous,10,-0.0106231577476466,-0.04146752208627608,4786,0.7740986698205318,False,False,
HYG,credit,ADXR_14,continuous,20,-0.023863477563682383,-0.02234950916688354,4776,0.6268705879722751,False,False,
HYG,credit,ADX_14,continuous,1,-0.006793727198756131,-0.08351386252449339,4808,0.6452295838491491,False,False,
HYG,credit,ADX_14,continuous,5,-0.01673986524990762,-0.06413255025344804,4804,0.5397593393865381,False,False,
HYG,credit,ADX_14,continuous,10,-0.03147746872790864,-0.06665425449443763,4799,0.39581866664163845,False,False,
HYG,credit,ADX_14,continuous,20,-0.04469765256403583,-0.040256680598696595,4789,0.35089893867269917,False,False,
HYG,credit,APO_12_26,continuous,1,-0.010219796441734624,-0.6766005535545958,4810,0.5275882927735654,False,False,
HYG,credit,APO_12_26,continuous,5,-0.043288724505243695,-0.4004721420110262,4806,0.1351906266402515,False,False,
HYG,credit,APO_12_26,continuous,10,-0.08270017309858409,-0.2869093631535426,4801,0.03216977183781973,False,False,
HYG,credit,APO_12_26,continuous,20,-0.06370597563546206,-0.232708353984,4791,0.20064335875629224,False,False,
HYG,credit,AROONOSC_14,continuous,1,0.0027418937240788763,-0.36644502946555024,4821,0.8530190681188512,False,False,
HYG,credit,AROONOSC_14,continuous,5,-0.036429150701890865,-0.30487053146314974,4817,0.1485290969392363,False,False,
HYG,credit,AROONOSC_14,continuous,10,-0.07183998413942116,-0.2717083131098319,4812,0.027228374231417985,False,False,
HYG,credit,AROONOSC_14,continuous,20,-0.10837457198618708,-0.276694523618637,4802,0.006749696826564514,True,False,
HYG,credit,ATR_RATIO_14,continuous,1,0.05188839111487325,0.8076824513073447,4821,0.0006055773866535091,True,False,
HYG,credit,ATR_RATIO_14,continuous,5,0.10442467560320061,0.4502135908693498,4817,0.00015254869940721196,True,False,
HYG,credit,ATR_RATIO_14,continuous,10,0.14353156215881546,0.3120812708353067,4812,0.00013548854166664883,True,False,
HYG,credit,ATR_RATIO_14,continuous,20,0.18750408410597152,0.2148608218865556,4802,0.00026180116778583745,True,False,
HYG,credit,BBANDS_PCTB_20_2,continuous,1,0.011335527770035882,-0.40010477543226164,4816,0.4482720750135095,False,False,
HYG,credit,BBANDS_PCTB_20_2,continuous,5,-0.006153034489413397,-0.29870939085705644,4812,0.8060408970716575,False,False,
HYG,credit,BBANDS_PCTB_20_2,continuous,10,-0.025052194829895187,-0.2861416984042496,4807,0.4223271284773168,False,False,
HYG,credit,BBANDS_PCTB_20_2,continuous,20,-0.0722735842168999,-0.312179481762548,4797,0.06279639726713437,False,False,
HYG,credit,CCI_20,continuous,1,0.015764681598598975,-0.36500863550695184,4816,0.29070557318027024,False,False,
HYG,credit,CCI_20,continuous,5,-0.00497080111426428,-0.2825519488172548,4812,0.8444181259031655,False,False,
HYG,credit,CCI_20,continuous,10,-0.02530590420840329,-0.2761921995526991,4807,0.4221353103867662,False,False,
HYG,credit,CCI_20,continuous,20,-0.07042385134436416,-0.30212459092453914,4797,0.07134328050443195,False,False,
HYG,credit,CMO_14,continuous,1,-0.00953140004510529,-0.8094500474897607,4821,0.5304675051496208,False,False,
HYG,credit,CMO_14,continuous,5,-0.04180929208576347,-0.5554741864121636,4817,0.1113790857688608,False,False,
HYG,credit,CMO_14,continuous,10,-0.06091927998727617,-0.455824070544992,4812,0.06928225183919443,False,False,
HYG,credit,CMO_14,continuous,20,-0.09452301310816776,-0.4183405371302211,4802,0.03391386777049646,False,False,
HYG,credit,DX_14,continuous,1,-0.01629739397954005,-0.1761166602698047,4821,0.26935470546001283,False,False,
HYG,credit,DX_14,continuous,5,-0.0032314398877450875,-0.056665423937034186,4817,0.8970906012260013,False,False,
HYG,credit,DX_14,continuous,10,-0.02135059880413061,-0.06048688959581472,4812,0.49017286436495033,False,False,
HYG,credit,DX_14,continuous,20,-0.04978255879673453,-0.06182140339339541,4802,0.18707711430271123,False,False,
HYG,credit,MFI_14,continuous,1,-0.005718223621751115,-0.5138958286184172,4821,0.7019164554238937,False,False,
HYG,credit,MFI_14,continuous,5,-0.029039842972817646,-0.3183534594794365,4817,0.2687587784208677,False,False,
HYG,credit,MFI_14,continuous,10,-0.03507915561935005,-0.2280957670166577,4812,0.30780536467068953,False,False,
HYG,credit,MFI_14,continuous,20,-0.05972340990820575,-0.20965439981807307,4802,0.15873222292592093,False,False,
HYG,credit,MOM_10,continuous,1,0.006883665027037381,-0.43805024628155,4825,0.6710910303804448,False,False,
HYG,credit,MOM_10,continuous,5,0.01091103383024421,-0.28529250225812874,4821,0.6788567848649866,False,False,
HYG,credit,MOM_10,continuous,10,-0.015161981118677142,-0.27045631927358926,4816,0.6408733336554013,False,False,
HYG,credit,MOM_10,continuous,20,-0.04813015274356708,-0.28932620238191353,4806,0.2142010422436269,False,False,
HYG,credit,NATR_14,continuous,1,0.05188839111487325,0.8076824513073447,4821,0.0006055773866535091,True,False,
HYG,credit,NATR_14,continuous,5,0.10442467560320061,0.4502135908693498,4817,0.00015254869940721196,True,False,
HYG,credit,NATR_14,continuous,10,0.14353156215881546,0.3120812708353067,4812,0.00013548854166664883,True,False,
HYG,credit,NATR_14,continuous,20,0.18750408410597152,0.2148608218865556,4802,0.00026180116778583745,True,False,
HYG,credit,OBV,continuous,1,-0.026011863449711556,-1.414909601850996,4835,0.08357888680466644,False,False,
HYG,credit,OBV,continuous,5,-0.05756696096786328,-0.7675971513351283,4831,0.038183405473838805,False,False,
HYG,credit,OBV,continuous,10,-0.06634718112674942,-0.5467743524721572,4826,0.08480296983579186,False,False,
HYG,credit,OBV,continuous,20,-0.07396426372652876,-0.40256287338811597,4816,0.17948264487929144,False,False,
HYG,credit,PPO_12_26,continuous,1,-0.002545949995969446,-0.6712834799455004,4810,0.8772975156190301,False,False,
HYG,credit,PPO_12_26,continuous,5,-0.03052992084195424,-0.39673291999585214,4806,0.3044800475503625,False,False,
HYG,credit,PPO_12_26,continuous,10,-0.07165438764592574,-0.2845013997439777,4801,0.07217289077083211,False,False,
