asset,asset_class,slot,indicator_id,indicator_type,horizon,ic_or_spread,ic_ir,n_obs,p_value,survives_fdr,low_confidence,note
HYG,credit,Momentum,MO-AO-5-34,continuous,1,-0.010302480825020555,-0.8312694485409129,4802,0.5288726066911521,False,False,
HYG,credit,Momentum,MO-AO-5-34,continuous,5,-0.029426529643219557,-0.4632940577916475,4798,0.30756853315034094,False,False,
HYG,credit,Momentum,MO-AO-5-34,continuous,10,-0.05869241164880725,-0.37607827518439707,4793,0.12386471888220431,False,False,
HYG,credit,Momentum,MO-AO-5-34,continuous,20,-0.0564759171195249,-0.3261729256529635,4783,0.26724141377178756,False,False,
HYG,credit,Momentum,MO-CCI-20,continuous,1,0.01575959557547902,-0.36430483796313384,4816,0.29085696110218584,False,False,
HYG,credit,Momentum,MO-CCI-20,continuous,5,-0.004972128697667284,-0.2824376561094019,4812,0.8443767064073225,False,False,
HYG,credit,Momentum,MO-CCI-20,continuous,10,-0.02530267362524764,-0.2761967076531336,4807,0.42219552562874796,False,False,
HYG,credit,Momentum,MO-CCI-20,continuous,20,-0.07042803860699061,-0.30209915940709775,4797,0.07132613415211489,False,False,
HYG,credit,Momentum,MO-CMO-14,continuous,1,-0.0030782792509833233,-0.5725784777405848,4821,0.8375121291973155,False,False,
HYG,credit,Momentum,MO-CMO-14,continuous,5,-0.03853115319978594,-0.3969040032538691,4817,0.13283953270280174,False,False,
HYG,credit,Momentum,MO-CMO-14,continuous,10,-0.05872012253077916,-0.3186877645328819,4812,0.07530877856024447,False,False,
HYG,credit,Momentum,MO-CMO-14,continuous,20,-0.09105500513145863,-0.2999036540850338,4802,0.03239823200900767,False,False,
HYG,credit,Momentum,MO-FISHER-9,continuous,1,0.0015873028801097198,-0.49216330182935136,4827,0.9155506215224446,False,False,
HYG,credit,Momentum,MO-FISHER-9,continuous,5,-0.01701958019309281,-0.32178529900774405,4823,0.5074840800312062,False,False,
HYG,credit,Momentum,MO-FISHER-9,continuous,10,-0.04515950525217329,-0.28467582364092553,4818,0.16273120735350544,False,False,
HYG,credit,Momentum,MO-FISHER-9,continuous,20,-0.08359498540905688,-0.2781744869212619,4808,0.03744634744300489,False,False,
HYG,credit,Momentum,MO-KDJ-9,continuous,1,0.011246256169206941,-0.22001411315070538,4827,0.4514424955472265,False,False,
HYG,credit,Momentum,MO-KDJ-9,continuous,5,0.012393924712067137,-0.12452650303192887,4823,0.6132972657536326,False,False,
HYG,credit,Momentum,MO-KDJ-9,continuous,10,0.015340816347236044,-0.1550730993128687,4818,0.5791227792416547,False,False,
HYG,credit,Momentum,MO-KDJ-9,continuous,20,-0.027848093438818656,-0.2124726889431747,4808,0.3470891418099721,False,False,
HYG,credit,Momentum,MO-MOM-10,continuous,1,0.006876597526538829,-0.43809480249195426,4825,0.6714069630422421,False,False,
HYG,credit,Momentum,MO-MOM-10,continuous,5,0.010906368658139808,-0.28557068042159983,4821,0.6789833687053912,False,False,
HYG,credit,Momentum,MO-MOM-10,continuous,10,-0.015165241887353062,-0.2703067780977612,4816,0.6408004501633038,False,False,
HYG,credit,Momentum,MO-MOM-10,continuous,20,-0.04813484384589812,-0.2892671331554437,4806,0.21415630779836903,False,False,
HYG,credit,Momentum,MO-ROC-10,continuous,1,0.01229124648324464,-0.4331793434804991,4825,0.45614791912069585,False,False,
HYG,credit,Momentum,MO-ROC-10,continuous,5,0.019990989883644537,-0.2822505571831481,4821,0.4592912549540785,False,False,
HYG,credit,Momentum,MO-ROC-10,continuous,10,-0.006602005332683346,-0.2668688373990345,4816,0.842906761659852,False,False,
HYG,credit,Momentum,MO-ROC-10,continuous,20,-0.03961574236098188,-0.2854212495919239,4806,0.3240643403241916,False,False,
HYG,credit,Momentum,MO-RSI-14,continuous,1,-0.009551675701943258,-0.8090981041840705,4822,0.5295001474760552,False,False,
HYG,credit,Momentum,MO-RSI-14,continuous,5,-0.041835069521006005,-0.5545665792214487,4818,0.1110744308350707,False,False,
HYG,credit,Momentum,MO-RSI-14,continuous,10,-0.06088798062059333,-0.4555392169889292,4813,0.06937114031363613,False,False,
HYG,credit,Momentum,MO-RSI-14,continuous,20,-0.09457565826994209,-0.41808078739095456,4803,0.033785721098848476,False,False,
HYG,credit,Momentum,MO-RSI-THRESH-14,discrete,1,0.0017947450507567954,,146,,,False,"bull:n=146,mean=0.00173,hit=0.52740 | bear:n=419,mean=-0.00006,hit=0.49881"
HYG,credit,Momentum,MO-RSI-THRESH-14,discrete,5,0.0086595953369784,,146,,,False,"bull:n=146,mean=0.00876,hit=0.69178 | bear:n=419,mean=0.00010,hit=0.54177"
HYG,credit,Momentum,MO-RSI-THRESH-14,discrete,10,0.011083835516784771,,146,,,False,"bull:n=146,mean=0.01066,hit=0.72603 | bear:n=419,mean=-0.00042,hit=0.53461"
HYG,credit,Momentum,MO-RSI-THRESH-14,discrete,20,0.018048783861490763,,146,,,False,"bull:n=146,mean=0.01752,hit=0.73288 | bear:n=419,mean=-0.00053,hit=0.56086"
HYG,credit,Momentum,MO-STOCH-14,continuous,1,0.005403379707349908,-0.40177361970549097,4820,0.7174846069383116,False,False,
HYG,credit,Momentum,MO-STOCH-14,continuous,5,-0.005740211560416884,-0.2789182714053919,4816,0.8211316291128644,False,False,
HYG,credit,Momentum,MO-STOCH-14,continuous,10,-0.025125760114150672,-0.27919019986536675,4811,0.4218150466952211,False,False,
HYG,credit,Momentum,MO-STOCH-14,continuous,20,-0.06683427615767386,-0.26640482526509807,4801,0.08983613265674183,False,False,
HYG,credit,Momentum,MO-STOCH-CROSS-14,discrete,1,0.0002607400849642181,,2401,,,False,"bull:n=2417,mean=0.00032,hit=0.53041 | bear:n=2401,mean=0.00006,hit=0.53519"
HYG,credit,Momentum,MO-STOCH-CROSS-14,discrete,5,0.000933475258440911,,2398,,,False,"bull:n=2416,mean=0.00141,hit=0.60182 | bear:n=2398,mean=0.00048,hit=0.57131"
HYG,credit,Momentum,MO-STOCH-CROSS-14,discrete,10,0.0016815093070100251,,2395,,,False,"bull:n=2414,mean=0.00273,hit=0.62925 | bear:n=2395,mean=0.00105,hit=0.59541"
HYG,credit,Momentum,MO-STOCH-CROSS-14,discrete,20,0.0018062846380395466,,2388,,,False,"bull:n=2411,mean=0.00468,hit=0.65657 | bear:n=2388,mean=0.00288,hit=0.62186"
HYG,credit,Momentum,MO-TSI-13-25,continuous,1,-0.017509583673611977,-1.117710542051726,4798,0.2574799020064862,False,False,
HYG,credit,Momentum,MO-TSI-13-25,continuous,5,-0.049608786343089926,-0.6100581633856548,4794,0.06966515521901988,False,False,
HYG,credit,Momentum,MO-TSI-13-25,continuous,10,-0.09041925293968443,-0.5034467840379143,4789,0.013477723128999905,True,False,
HYG,credit,Momentum,MO-TSI-13-25,continuous,20,-0.0996936162929827,-0.4291054515335835,4779,0.04454876037279772,False,False,
HYG,credit,Momentum,MO-UO-7-14-28,continuous,1,-0.02362522223965493,-0.5451454383909647,4808,0.11592549478930568,False,False,
HYG,credit,Momentum,MO-UO-7-14-28,continuous,5,-0.04299065269485357,-0.338991791040713,4804,0.08710053721599861,False,False,
HYG,credit,Momentum,MO-UO-7-14-28,continuous,10,-0.06056433653129802,-0.2968753169683114,4799,0.05150298736959006,False,False,
HYG,credit,Momentum,MO-UO-7-14-28,continuous,20,-0.09399831639009064,-0.27533270033795054,4789,0.012872714494451373,True,False,
HYG,credit,Momentum,MO-WILLR-14,continuous,1,0.013058344671423368,-0.28969709472169836,4822,0.3803653533698027,False,False,
HYG,credit,Momentum,MO-WILLR-14,continuous,5,0.012110911500778374,-0.22762564055417206,4818,0.6152187687090531,False,False,
HYG,credit,Momentum,MO-WILLR-14,continuous,10,-0.004778984151409649,-0.25254866387379676,4813,0.8705341611302919,False,False,
HYG,credit,Momentum,MO-WILLR-14,continuous,20,-0.051345188035845965,-0.2647678212932174,4803,0.1580143057979756,False,False,
HYG,credit,Trend,TR-ADX-14,continuous,1,-0.006710415454652312,-0.08080926007218024,4822,0.6475887048859359,False,False,
HYG,credit,Trend,TR-ADX-14,continuous,5,-0.016790838231075706,-0.06029758894402942,4818,0.5365066826144689,False,False,
HYG,credit,Trend,TR-ADX-14,continuous,10,-0.03177436904411435,-0.06442569120054041,4813,0.3900321513600583,False,False,
HYG,credit,Trend,TR-ADX-14,continuous,20,-0.048427769961159925,-0.03976842453387673,4803,0.31242651561533286,False,False,
HYG,credit,Trend,TR-AROONOSC-14,continuous,1,0.0007379923702094376,-0.38477391516567055,4821,0.9603153699779424,False,False,
HYG,credit,Trend,TR-AROONOSC-14,continuous,5,-0.03870472641398928,-0.31159230985312586,4817,0.12516945992915435,False,False,
HYG,credit,Trend,TR-AROONOSC-14,continuous,10,-0.07294268289194417,-0.27111544833164875,4812,0.02487165587169698,False,False,
HYG,credit,Trend,TR-AROONOSC-14,continuous,20,-0.10679895852399698,-0.2750737630448704,4802,0.007465494079862954,True,False,
HYG,credit,Trend,TR-EMACROSS-50-200,discrete,1,-4.155612369688338e-05,,901,,,False,"bull:n=3735,mean=0.00019,hit=0.54190 | bear:n=901,mean=0.00023,hit=0.50055"
HYG,credit,Trend,TR-EMACROSS-50-200,discrete,5,-0.000585320211147543,,901,,,False,"bull:n=3731,mean=0.00089,hit=0.59984 | bear:n=901,mean=0.00148,hit=0.55050"
HYG,credit,Trend,TR-EMACROSS-50-200,discrete,10,-0.0009430128336063578,,901,,,False,"bull:n=3726,mean=0.00183,hit=0.62453 | bear:n=901,mean=0.00277,hit=0.58824"
HYG,credit,Trend,TR-EMACROSS-50-200,discrete,20,0.0003760509214577072,,901,,,False,"bull:n=3716,mean=0.00415,hit=0.67008 | bear:n=901,mean=0.00377,hit=0.57270"
HYG,credit,Trend,TR-MACD-CROSS-12-26-9,discrete,1,0.0003703618755015322,,2349,,,False,"bull:n=2349,mean=0.00038,hit=0.53768 | bear:n=2453,mean=0.00001,hit=0.52792"
HYG,credit,Trend,TR-MACD-CROSS-12-26-9,discrete,5,0.0010110140443213209,,2349,,,False,"bull:n=2349,mean=0.00146,hit=0.59728 | bear:n=2449,mean=0.00045,hit=0.57575"
HYG,credit,Trend,TR-MACD-CROSS-12-26-9,discrete,10,0.0008204083390784907,,2344,,,False,"bull:n=2344,mean=0.00232,hit=0.61903 | bear:n=2449,mean=0.00150,hit=0.60719"
HYG,credit,Trend,TR-MACD-CROSS-12-26-9,discrete,20,-0.001044364986466957,,2339,,,False,"bull:n=2339,mean=0.00330,hit=0.61821 | bear:n=2444,mean=0.00435,hit=0.66244"
HYG,credit,Trend,TR-MACDH-12-26-9,continuous,1,0.005221321949189698,-0.37001544318429247,4802,0.746873769676037,False,False,
HYG,credit,Trend,TR-MACDH-12-26-9,continuous,5,0.0022782030537387607,-0.1863858321389698,4798,0.9354418213395191,False,False,
HYG,credit,Trend,TR-MACDH-12-26-9,continuous,10,-0.01570309290491363,-0.1500408544520463,4793,0.6662962822118083,False,False,
HYG,credit,Trend,TR-MACDH-12-26-9,continuous,20,-0.05122277852412429,-0.1567319222482617,4783,0.2444838055828843,False,False,
