asset,asset_class,cutoff,volume_ind,trend_ind,momentum_ind,volatility_ind,n_slots,horizon,comp_ic,comp_p,comp_ic_ir,redundancy,traded_sign,is_winner,fdr_fallback_slots
ASHR,equity,2023-12-31,VU-adosc,TR-dpo,MO-crsi,VO-BBP,4,1,0.0709215093399102,0.0004772063706915,0.4516064619778581,0.3865250680447947,1.0,False,trend
ASHR,equity,2023-12-31,VU-adosc,TR-dpo,MO-crsi,VO-BBP,4,5,0.0748966735344172,0.0061177893343318,0.2402437265137123,0.3865250680447947,1.0,False,trend
ASHR,equity,2023-12-31,VU-adosc,TR-dpo,MO-crsi,VO-BBP,4,10,0.0764789854366672,0.0090540457861614,0.1800736286501509,0.3865250680447947,1.0,False,trend
ASHR,equity,2023-12-31,VU-adosc,TR-dpo,MO-crsi,VO-BBP,4,20,0.0680708435423829,0.0425776427372313,0.1149834699691181,0.3865250680447947,1.0,False,trend
ASHR,equity,2023-12-31,VU-adosc,TR-dpo,MO-slope,VO-BBP,4,1,0.0719892443648516,0.0004590119598042,0.4429520543423995,0.3443764633435447,1.0,False,trend
ASHR,equity,2023-12-31,VU-adosc,TR-dpo,MO-slope,VO-BBP,4,5,0.0710788201140801,0.0088285829089807,0.2217240886765421,0.3443764633435447,1.0,False,trend
ASHR,equity,2023-12-31,VU-adosc,TR-dpo,MO-slope,VO-BBP,4,10,0.0760630270234936,0.0087894040910621,0.1785558622319497,0.3443764633435447,1.0,False,trend
ASHR,equity,2023-12-31,VU-adosc,TR-dpo,MO-slope,VO-BBP,4,20,0.0677960033371617,0.04633371194769,0.1189207263849133,0.3443764633435447,1.0,True,trend
ASHR,equity,2023-12-31,VU-adosc,TR-dpo,MO-bop,VO-BBP,4,1,0.0709658809541283,0.0004855539193763,0.3677560652801339,0.2931819921484235,1.0,False,trend
ASHR,equity,2023-12-31,VU-adosc,TR-dpo,MO-bop,VO-BBP,4,5,0.059834995270591,0.0301187021064476,0.1434852116449768,0.2931819921484235,1.0,False,trend
ASHR,equity,2023-12-31,VU-adosc,TR-dpo,MO-bop,VO-BBP,4,10,0.069743693363094,0.019590496987327,0.1303208814047529,0.2931819921484235,1.0,False,trend
ASHR,equity,2023-12-31,VU-adosc,TR-dpo,MO-bop,VO-BBP,4,20,0.0678287245727962,0.0630003326376051,0.0808260353687215,0.2931819921484235,1.0,False,trend
ASHR,equity,2023-12-31,VU-pvi,TR-dpo,MO-crsi,VO-BBP,4,1,0.0724375986663016,0.0003318742476275,0.3446640288987586,0.486639692101483,1.0,False,trend
ASHR,equity,2023-12-31,VU-pvi,TR-dpo,MO-crsi,VO-BBP,4,5,0.0674911000608121,0.0071133791854765,0.1685009499318338,0.486639692101483,1.0,False,trend
ASHR,equity,2023-12-31,VU-pvi,TR-dpo,MO-crsi,VO-BBP,4,10,0.0491236792288445,0.0629052349161665,0.1076597629834675,0.486639692101483,1.0,False,trend
ASHR,equity,2023-12-31,VU-pvi,TR-dpo,MO-crsi,VO-BBP,4,20,0.0533893527673362,0.0403713502033297,0.0726414960640002,0.486639692101483,1.0,False,trend
ASHR,equity,2023-12-31,VU-pvi,TR-dpo,MO-slope,VO-BBP,4,1,0.0655688848733376,0.0012662634873821,0.3094524793260488,0.4543595229489178,1.0,False,trend
ASHR,equity,2023-12-31,VU-pvi,TR-dpo,MO-slope,VO-BBP,4,5,0.0585900547411256,0.0181566205689938,0.1330010210162387,0.4543595229489178,1.0,False,trend
ASHR,equity,2023-12-31,VU-pvi,TR-dpo,MO-slope,VO-BBP,4,10,0.040742251504433,0.1169996642394641,0.0778040888332152,0.4543595229489178,1.0,False,trend
ASHR,equity,2023-12-31,VU-pvi,TR-dpo,MO-slope,VO-BBP,4,20,0.0492803889677577,0.0571754045540654,0.0562280494007992,0.4543595229489178,1.0,False,trend
ASHR,equity,2023-12-31,VU-pvi,TR-dpo,MO-bop,VO-BBP,4,1,0.0755607758854516,0.0001762122767951,0.3174777153419562,0.3305062783515796,1.0,False,trend
ASHR,equity,2023-12-31,VU-pvi,TR-dpo,MO-bop,VO-BBP,4,5,0.0509399053484284,0.0421529219577552,0.0762176451214866,0.3305062783515796,1.0,False,trend
ASHR,equity,2023-12-31,VU-pvi,TR-dpo,MO-bop,VO-BBP,4,10,0.0373805980059728,0.1648677754031745,0.0311927067947061,0.3305062783515796,1.0,False,trend
ASHR,equity,2023-12-31,VU-pvi,TR-dpo,MO-bop,VO-BBP,4,20,0.0540124508291275,0.0586897255602459,0.0296478502099988,0.3305062783515796,1.0,False,trend
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-smi,VO-rvi,4,1,0.0238081266484082,0.1886568400988184,-0.4103494587008533,0.4155752866543665,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-smi,VO-rvi,4,5,0.0734356560114512,0.0268398359593928,-0.1488507298201856,0.4155752866543665,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-smi,VO-rvi,4,10,0.1068319811240635,0.0118352198862579,-0.1063969777733487,0.4155752866543665,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-smi,VO-rvi,4,20,0.1190503755537957,0.0274517943243624,-0.1021969725409385,0.4155752866543665,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-tsi,VO-rvi,4,1,0.0299648261002278,0.0979622671729198,-0.4045334178605849,0.3692007557319188,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-tsi,VO-rvi,4,5,0.0761275952690605,0.0225576495239905,-0.1534416154865352,0.3692007557319188,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-chop,MO-tsi,VO-rvi,4,10,0.1061779199404096,0.013879539322295,-0.1149367497791257,0.3692007557319188,1.0,False,volatility
