asset,asset_class,indicator,slot,horizon,ic,ic_ir,n_obs,p_value,note,survives_fdr,cutoff
^GSPC,equity,VU-ad,volume,1,0.0186989945122028,-0.6664409923089919,18618,0.0152771094983445,,False,2023-12-31
^GSPC,equity,VU-ad,volume,5,0.0225850872792625,-0.3830825745146763,18614,0.1084783360009268,,False,2023-12-31
^GSPC,equity,VU-ad,volume,10,0.0261000823818475,-0.2664911072442287,18609,0.1796562859929864,,False,2023-12-31
^GSPC,equity,VU-ad,volume,20,0.0319255071847896,-0.1837402519302151,18599,0.2363858560595974,,False,2023-12-31
^GSPC,equity,VU-adosc,volume,1,-0.0160861439948964,-0.4148611091937648,18609,0.037181570625248,,False,2023-12-31
^GSPC,equity,VU-adosc,volume,5,-0.0439133156753152,-0.2629160291896524,18605,0.000662719630159,,True,2023-12-31
^GSPC,equity,VU-adosc,volume,10,-0.0407742490374852,-0.1836324561941049,18600,0.0124267107536427,,False,2023-12-31
^GSPC,equity,VU-adosc,volume,20,-0.0240003192256623,-0.152220170290411,18590,0.2309724501822361,,False,2023-12-31
^GSPC,equity,VU-cmf,volume,1,-0.0038541211940551,-0.4446049094362089,18599,0.6146513850614892,,False,2023-12-31
^GSPC,equity,VU-cmf,volume,5,-0.0231686708442514,-0.273201758191128,18595,0.0847412735215547,,False,2023-12-31
^GSPC,equity,VU-cmf,volume,10,-0.0229823792538805,-0.1932893618850085,18590,0.200121904602048,,False,2023-12-31
^GSPC,equity,VU-cmf,volume,20,-0.0024160198922171,-0.1426857819987041,18580,0.9169014489030214,,False,2023-12-31
^GSPC,equity,VU-efi,volume,1,-0.0077143721426124,-0.3383317258557305,18606,0.321138321325236,,False,2023-12-31
^GSPC,equity,VU-efi,volume,5,-0.041951794701915,-0.3373578090527168,18602,0.0006813843450578,,True,2023-12-31
^GSPC,equity,VU-efi,volume,10,-0.0368192459603996,-0.2864869171603161,18597,0.014727763193865,,False,2023-12-31
^GSPC,equity,VU-efi,volume,20,-0.0360227215015404,-0.2792478414339612,18587,0.0437970941277505,,False,2023-12-31
^GSPC,equity,VU-eom,volume,1,-0.0077049135926433,-0.480885458591999,18454,0.3389214489898337,,False,2023-12-31
^GSPC,equity,VU-eom,volume,5,-0.0184397442492467,-0.3119975966882921,18454,0.1721182004942841,,False,2023-12-31
^GSPC,equity,VU-eom,volume,10,-0.0210596046228332,-0.2368885289621642,18454,0.2202116469785712,,False,2023-12-31
^GSPC,equity,VU-eom,volume,20,-0.0369661213164461,-0.2281942296162632,18454,0.0776600395284466,,False,2023-12-31
^GSPC,equity,VU-kvo,volume,1,-0.0088670071435119,-0.4094621127788836,18564,0.2474815907825998,,False,2023-12-31
^GSPC,equity,VU-kvo,volume,5,-0.0285374531574651,-0.276484927865389,18560,0.0232302641633984,,False,2023-12-31
^GSPC,equity,VU-kvo,volume,10,-0.0213399062930249,-0.2100999900842668,18555,0.1799052216531228,,False,2023-12-31
^GSPC,equity,VU-kvo,volume,20,-0.0266392876437563,-0.1872374808856295,18545,0.1661736873514397,,False,2023-12-31
^GSPC,equity,VU-mfi,volume,1,-0.0010615317942291,-0.4588835748154093,18604,0.8882751317066465,,False,2023-12-31
^GSPC,equity,VU-mfi,volume,5,-0.0123645031646091,-0.2767026178186459,18600,0.3456299565451919,,False,2023-12-31
^GSPC,equity,VU-mfi,volume,10,-0.0088247920639127,-0.2102385274995713,18595,0.6055476762502938,,False,2023-12-31
^GSPC,equity,VU-mfi,volume,20,-0.017528727141605,-0.2008607687126294,18585,0.4065189383267913,,False,2023-12-31
^GSPC,equity,VU-nvi,volume,1,-0.0069836555439208,-0.3197053477361608,24114,0.2637675526162484,,False,2023-12-31
^GSPC,equity,VU-nvi,volume,5,-0.01473641649948,-0.177319228797045,24110,0.1989297805715461,,False,2023-12-31
^GSPC,equity,VU-nvi,volume,10,-0.0159560085562812,-0.1269821032158303,24105,0.3125980345750347,,False,2023-12-31
^GSPC,equity,VU-nvi,volume,20,-0.0278868973040632,-0.0942043334756598,24095,0.2024428539019892,,False,2023-12-31
^GSPC,equity,VU-obv,volume,1,0.0087822004767051,-1.1707064028067191,18618,0.2346503961130466,,False,2023-12-31
^GSPC,equity,VU-obv,volume,5,0.0113154343102488,-0.6243590836430313,18614,0.3992401473229916,,False,2023-12-31
^GSPC,equity,VU-obv,volume,10,0.0109054653072326,-0.4596254148109616,18609,0.5620968554874819,,False,2023-12-31
^GSPC,equity,VU-obv,volume,20,0.0114646319265073,-0.3388322859983874,18599,0.6604323300095652,,False,2023-12-31
^GSPC,equity,VU-pvi,volume,1,0.0453214925321529,0.1916470641005373,24114,3.903780560943541e-13,,True,2023-12-31
^GSPC,equity,VU-pvi,volume,5,0.0048381937402612,-0.0528103146880785,24110,0.4558560756674016,,False,2023-12-31
^GSPC,equity,VU-pvi,volume,10,-0.0030791582890979,-0.0669065009306926,24105,0.6470675423874512,,False,2023-12-31
^GSPC,equity,VU-pvi,volume,20,-0.0023834498570651,-0.0614114253478,24095,0.7270709369426464,,False,2023-12-31
^GSPC,equity,VU-pvo,volume,1,0.012646844256562,0.0505643207593086,18585,0.099193287688448,,False,2023-12-31
^GSPC,equity,VU-pvo,volume,5,0.0097890282409248,0.0079464498137504,18581,0.4322891224096287,,False,2023-12-31
^GSPC,equity,VU-pvo,volume,10,0.0082392788281865,0.0009208762880176,18576,0.5809613421934839,,False,2023-12-31
^GSPC,equity,VU-pvo,volume,20,0.0081028028589479,-0.0085331479109141,18566,0.6227718940846101,,False,2023-12-31
^GSPC,equity,VU-pvt,volume,1,0.0057107684204102,-1.2096869081342745,18618,0.4408225075982834,,False,2023-12-31
^GSPC,equity,VU-pvt,volume,5,0.0038789587143322,-0.8190956470853521,18614,0.7727591736390925,,False,2023-12-31
^GSPC,equity,VU-pvt,volume,10,-0.0010340635329832,-0.628730805822536,18609,0.9560268926775636,,False,2023-12-31
^GSPC,equity,VU-pvt,volume,20,-0.0014496498204849,-0.4765022831599982,18599,0.9557849367623494,,False,2023-12-31
^GSPC,equity,VU-wb_tsv,volume,1,-0.0065060149548542,-0.5742108885126149,18601,0.4056974530053339,,False,2023-12-31
^GSPC,equity,VU-wb_tsv,volume,5,-0.0220642076792479,-0.3991993633426008,18597,0.0861217092894009,,False,2023-12-31
^GSPC,equity,VU-wb_tsv,volume,10,-0.0348079328843703,-0.3052337201559404,18592,0.0364885947712949,,False,2023-12-31
^GSPC,equity,VU-wb_tsv,volume,20,-0.048440918059233,-0.2650264506965857,18582,0.0203185850789103,,False,2023-12-31
^GSPC,equity,TR-adx,trend,1,0.0138154238218723,-0.0851206608276051,24087,0.0370540179041687,,False,2023-12-31
^GSPC,equity,TR-adx,trend,5,0.0246244216901837,-0.0529164835120829,24083,0.0420315044733898,,False,2023-12-31
