,ASHR,BTC-USD,CL=F,ETH-USD,GC=F,SI=F,VEA,VWO,^FTSE,^GSPC,^KS11,^N225,^NDX,^TWII
2024-01-02,0.0,0.0,0.06386764094475919,0.0,0.0,0.09459715034415,0.0,0.0,0.0,0.0,0.14904925919029693,0.0,0.0,0.19248594952079381
2024-04-01,0.11805565109323311,0.02853872758269315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16520901943897184,0.12992501538143947,0.18327158650366246,0.0
2024-07-01,0.13808673118425915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14401346391274525,0.0,0.0,0.11391602063014501,0.10398378427285059
2024-10-01,0.0,0.061605544228196314,0.12242365146424376,0.0,0.0,0.0,0.15377552730529606,0.16236066856406461,0.0,0.0,0.12483460843819921,0.0,0.0,0.0
2025-01-02,0.030310668323602765,0.0,0.03942104285842348,0.0,0.0,0.0992685968051406,0.2437066389716524,0.0,0.21390925402024968,0.17151306578388828,0.0,0.06087140842779484,0.14099932480924782,0.0
2025-04-01,0.12967980168937007,0.0,0.0,0.015833965802801157,0.0,0.0,0.2156164150174704,0.1214144370048689,0.22350326051625005,0.09693388743844149,0.0748591576690244,0.0,0.12215907486177356,0.0
2025-07-01,0.0,0.0,0.09531685548269633,0.0,0.13042131081138597,0.0,0.0,0.0,0.13197251697035753,0.0,0.1997042724296953,0.11448823865297546,0.0,0.07809680565288937
2025-10-01,0.0,0.0,0.07621081253709841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1361613585370823,0.1626278289258193,0.0,0.0
2026-01-02,0.1735085948413449,0.0,0.0,0.0,0.1254248124215773,0.031401987049278254,0.0,0.0,0.0,0.0,0.0,0.09000129614733868,0.19265032098324003,0.13701298855722077
2026-04-01,0.0,0.0,0.035566864500442094,0.058702217653761254,0.1014475151057403,0.025455283949252325,0.15690430393827076,0.08427364518542939,0.25737756183467925,0.0,0.0,0.0,0.2802726078324245,0.0
2026-07-01,0.0,0.0,0.0,0.0,0.1449468316884736,0.0,0.0,0.13256435055258464,0.0,0.0,0.0,0.09748881775894175,0.0,0.0
